env,seed,A_exact_Q_gap,B_exact_D_gap,A_learned_Q_gap,B_learned_D_gap,eps_Q,eps_D,lambda_ref,abs_eps_Q,abs_lambda_eps_D
Env1_DoorKey-Lava,0,0.05699999999999997,0.531441,0.04694964855909345,0.522407043481716,-0.010050351440906519,0.009033956518284092,1.0,0.010050351440906519,0.009033956518284092
Env1_DoorKey-Lava,1,0.05699999999999997,0.531441,0.05142918422818182,0.5193845191327595,-0.005570815771818144,0.012056480867240538,1.0,0.005570815771818144,0.012056480867240538
Env1_DoorKey-Lava,2,0.05699999999999997,0.531441,0.05634813062846658,0.5126068815427255,-0.0006518693715333868,0.018834118457274562,1.0,0.0006518693715333868,0.018834118457274562
Env2_Sokoban,0,0.05699999999999997,0.531441,0.05806026367470621,0.5127145821294934,0.001060263674706241,0.018726417870506662,1.0,0.001060263674706241,0.018726417870506662
Env2_Sokoban,1,0.05699999999999997,0.531441,0.06458832144737242,0.5128542887003236,0.007588321447372454,0.018586711299676484,1.0,0.007588321447372454,0.018586711299676484
Env2_Sokoban,2,0.05699999999999997,0.531441,0.06571380739286542,0.5081681941097975,0.008713807392865452,0.02327280589020253,1.0,0.008713807392865452,0.02327280589020253
Env3_Resource,0,0.05699999999999997,0.531441,0.06760910824872551,0.52821833530251,0.010609108248725546,0.0032226646974901074,1.0,0.010609108248725546,0.0032226646974901074
Env3_Resource,1,0.05699999999999997,0.531441,0.0727545367613435,0.5275115439531903,0.01575453676134353,0.003929456046809721,1.0,0.01575453676134353,0.003929456046809721
Env3_Resource,2,0.05699999999999997,0.531441,0.06471202874183651,0.5243885267486448,0.007712028741836546,0.0070524732513552735,1.0,0.007712028741836546,0.0070524732513552735
Env4_MiniGrid,0,0.04999999999999999,0.531441,0.04749745292477314,0.5303114177603525,-0.0025025470752268464,0.001129582239647542,1.0,0.0025025470752268464,0.001129582239647542
Env4_MiniGrid,1,0.04999999999999999,0.531441,0.06747116741202769,0.5306619965287935,0.0174711674120277,0.0007790034712065186,1.0,0.0174711674120277,0.0007790034712065186
Env4_MiniGrid,2,0.04999999999999999,0.531441,0.041158104854077115,0.5313273841019632,-0.008841895145922873,0.00011361589803682293,1.0,0.008841895145922873,0.00011361589803682293
Env4_MiniGrid,3,0.04999999999999999,0.531441,0.06909402573867701,0.5309114981304995,0.019094025738677023,0.0005295018695005149,1.0,0.019094025738677023,0.0005295018695005149
Env4_MiniGrid,4,0.04999999999999999,0.531441,0.07542997570186855,0.5311397770558254,0.025429975701868557,0.00030122294417467277,1.0,0.025429975701868557,0.00030122294417467277
