env,seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,preserved
Env1_DoorKey-Lava,0,0.047,0.03202227299999996,0.0223965175154528,-0.009625755484547163,0.03202227299999996,decoy,decoy,True
Env1_DoorKey-Lava,0,0.048,0.03149083199999997,0.021874110471971082,-0.009616721528028886,0.03149083199999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.049,0.030959390999999965,0.021351703428489365,-0.0096076875715106,0.030959390999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.05,0.030427949999999964,0.020829296385007648,-0.009598653614992316,0.030427949999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.051,0.029896508999999967,0.020306889341525938,-0.00958961965847403,0.029896508999999967,decoy,decoy,True
Env1_DoorKey-Lava,0,0.052,0.029365067999999966,0.01978448229804422,-0.009580585701955746,0.029365067999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.053,0.028833626999999966,0.019262075254562503,-0.009571551745437463,0.028833626999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.054,0.028302185999999965,0.018739668211080786,-0.00956251778891918,0.028302185999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.055,0.027770744999999965,0.018217261167599072,-0.009553483832400893,0.027770744999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.056,0.027239303999999964,0.017694854124117355,-0.00954444987588261,0.027239303999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.057,0.026707862999999964,0.017172447080635637,-0.009535415919364326,0.026707862999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.058,0.026176421999999963,0.01665004003715392,-0.009526381962846043,0.026176421999999963,decoy,decoy,True
Env1_DoorKey-Lava,0,0.059,0.025644980999999963,0.01612763299367221,-0.009517348006327753,0.025644980999999963,decoy,decoy,True
Env1_DoorKey-Lava,0,0.06,0.025113539999999962,0.01560522595019049,-0.009508314049809473,0.025113539999999962,decoy,decoy,True
Env1_DoorKey-Lava,0,0.061,0.02458209899999996,0.015082818906708775,-0.009499280093291186,0.02458209899999996,decoy,decoy,True
Env1_DoorKey-Lava,0,0.062,0.02405065799999996,0.014560411863227062,-0.0094902461367729,0.02405065799999996,decoy,decoy,True
Env1_DoorKey-Lava,0,0.063,0.023519216999999967,0.01403800481974534,-0.009481212180254626,0.023519216999999967,decoy,decoy,True
Env1_DoorKey-Lava,0,0.064,0.022987775999999967,0.013515597776263627,-0.00947217822373634,0.022987775999999967,decoy,decoy,True
Env1_DoorKey-Lava,0,0.065,0.022456334999999966,0.012993190732781913,-0.009463144267218053,0.022456334999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.066,0.021924893999999966,0.012470783689300192,-0.009454110310699773,0.021924893999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.067,0.021393452999999965,0.011948376645818479,-0.009445076354181486,0.021393452999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.068,0.020862011999999965,0.011425969602336758,-0.009436042397663207,0.020862011999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.069,0.020330570999999964,0.010903562558855044,-0.00942700844114492,0.020330570999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.07,0.019799129999999963,0.01038115551537333,-0.009417974484626633,0.019799129999999963,decoy,decoy,True
Env1_DoorKey-Lava,0,0.071,0.01926768899999997,0.009858748471891617,-0.009408940528108353,0.01926768899999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.072,0.01873624799999997,0.009336341428409903,-0.009399906571590066,0.01873624799999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.073,0.01820480699999997,0.008813934384928189,-0.00939087261507178,0.01820480699999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.074,0.017673365999999968,0.008291527341446468,-0.0093818386585535,0.017673365999999968,decoy,decoy,True
Env1_DoorKey-Lava,0,0.075,0.017141924999999968,0.0077691202979647545,-0.009372804702035213,0.017141924999999968,decoy,decoy,True
Env1_DoorKey-Lava,0,0.076,0.016610483999999967,0.007246713254483034,-0.009363770745516933,0.016610483999999967,decoy,decoy,True
Env1_DoorKey-Lava,0,0.077,0.016079042999999967,0.00672430621100132,-0.009354736788998647,0.016079042999999967,decoy,decoy,True
Env1_DoorKey-Lava,0,0.078,0.015547601999999966,0.006201899167519606,-0.00934570283248036,0.015547601999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.079,0.015016160999999965,0.005679492124037885,-0.00933666887596208,0.015016160999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.08,0.014484719999999965,0.005157085080556172,-0.009327634919443793,0.014484719999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.081,0.013953278999999964,0.004634678037074458,-0.009318600962925506,0.013953278999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.082,0.013421837999999964,0.004112270993592737,-0.009309567006407227,0.013421837999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.083,0.012890396999999963,0.0035898639501110233,-0.00930053304988894,0.012890396999999963,decoy,decoy,True
Env1_DoorKey-Lava,0,0.084,0.012358955999999963,0.0030674569066293025,-0.00929149909337066,0.012358955999999963,decoy,decoy,True
Env1_DoorKey-Lava,0,0.085,0.011827514999999962,0.0025450498631475887,-0.009282465136852373,0.011827514999999962,decoy,decoy,True
Env1_DoorKey-Lava,0,0.086,0.011296073999999968,0.002022642819665882,-0.009273431180334087,0.011296073999999968,decoy,decoy,True
Env1_DoorKey-Lava,0,0.087,0.010764632999999968,0.0015002357761841612,-0.009264397223815807,0.010764632999999968,decoy,decoy,True
Env1_DoorKey-Lava,0,0.088,0.010233191999999967,0.0009778287327024474,-0.00925536326729752,0.010233191999999967,decoy,decoy,True
Env1_DoorKey-Lava,0,0.089,0.009701750999999967,0.00045542168922073356,-0.009246329310779233,0.009701750999999967,decoy,decoy,True
Env1_DoorKey-Lava,0,0.09,0.009170309999999966,-6.698535426098717e-05,-0.009237295354260953,0.009170309999999966,decoy,safe,False
Env1_DoorKey-Lava,0,0.091,0.008638868999999966,-0.000589392397742701,-0.009228261397742667,0.008638868999999966,decoy,safe,False
Env1_DoorKey-Lava,0,0.092,0.008107427999999965,-0.0011117994412244217,-0.009219227441224387,0.008107427999999965,decoy,safe,False
Env1_DoorKey-Lava,0,0.093,0.007575986999999965,-0.0016342064847061355,-0.0092101934847061,0.007575986999999965,decoy,safe,False
Env1_DoorKey-Lava,0,0.094,0.007044545999999964,-0.0021566135281878493,-0.009201159528187813,0.007044545999999964,decoy,safe,False
Env1_DoorKey-Lava,0,0.095,0.0065131049999999635,-0.00267902057166957,-0.009192125571669534,0.0065131049999999635,decoy,safe,False
Env1_DoorKey-Lava,0,0.096,0.005981663999999963,-0.003201427615151284,-0.009183091615151247,0.005981663999999963,decoy,safe,False
Env1_DoorKey-Lava,0,0.097,0.005450222999999962,-0.0037238346586329976,-0.00917405765863296,0.005450222999999962,decoy,safe,False
Env1_DoorKey-Lava,0,0.098,0.004918781999999962,-0.004246241702114718,-0.00916502370211468,0.004918781999999962,decoy,safe,False
Env1_DoorKey-Lava,0,0.099,0.004387340999999961,-0.004768648745596432,-0.009155989745596393,0.004387340999999961,decoy,safe,False
Env1_DoorKey-Lava,0,0.1,0.0038558999999999607,-0.005291055789078153,-0.009146955789078114,0.0038558999999999607,decoy,safe,False
Env1_DoorKey-Lava,0,0.101,0.00332445899999996,-0.005813462832559867,-0.009137921832559827,0.00332445899999996,decoy,safe,False
