seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,score_error,exact_margin,within_margin,preserved
0,0.0,0.04999999999999999,0.04749745292477314,-0.0025025470752268464,0.04999999999999999,decoy,decoy,0.0025025470752268464,0.04999999999999999,True,True
0,0.001,0.04946855899999999,0.04696714150701279,-0.0025014174929871985,0.04946855899999999,decoy,decoy,0.0025014174929871985,0.04946855899999999,True,True
0,0.002,0.04893711799999999,0.04643683008925244,-0.0025002879107475506,0.04893711799999999,decoy,decoy,0.0025002879107475506,0.04893711799999999,True,True
0,0.003,0.04840567699999999,0.045906518671492084,-0.0024991583285079028,0.04840567699999999,decoy,decoy,0.0024991583285079028,0.04840567699999999,True,True
0,0.004,0.04787423599999999,0.04537620725373173,-0.002498028746268255,0.04787423599999999,decoy,decoy,0.002498028746268255,0.04787423599999999,True,True
0,0.005,0.047342794999999986,0.04484589583597138,-0.002496899164028607,0.047342794999999986,decoy,decoy,0.002496899164028607,0.047342794999999986,True,True
0,0.006,0.046811353999999986,0.044315584418211026,-0.002495769581788959,0.046811353999999986,decoy,decoy,0.002495769581788959,0.046811353999999986,True,True
0,0.007,0.04627991299999999,0.043785273000450674,-0.002494639999549318,0.04627991299999999,decoy,decoy,0.002494639999549318,0.04627991299999999,True,True
0,0.008,0.04574847199999999,0.04325496158269032,-0.0024935104173096703,0.04574847199999999,decoy,decoy,0.0024935104173096703,0.04574847199999999,True,True
0,0.009,0.04521703099999999,0.04272465016492997,-0.0024923808350700224,0.04521703099999999,decoy,decoy,0.0024923808350700224,0.04521703099999999,True,True
0,0.01,0.04468558999999999,0.042194338747169616,-0.0024912512528303746,0.04468558999999999,decoy,decoy,0.0024912512528303746,0.04468558999999999,True,True
0,0.011,0.04415414899999999,0.04166402732940926,-0.0024901216705907267,0.04415414899999999,decoy,decoy,0.0024901216705907267,0.04415414899999999,True,True
0,0.012,0.04362270799999999,0.04113371591164891,-0.002488992088351079,0.04362270799999999,decoy,decoy,0.002488992088351079,0.04362270799999999,True,True
0,0.013,0.04309126699999999,0.04060340449388856,-0.002487862506111431,0.04309126699999999,decoy,decoy,0.002487862506111431,0.04309126699999999,True,True
0,0.014,0.04255982599999999,0.040073093076128205,-0.002486732923871783,0.04255982599999999,decoy,decoy,0.002486732923871783,0.04255982599999999,True,True
0,0.015,0.04202838499999999,0.03954278165836786,-0.0024856033416321283,0.04202838499999999,decoy,decoy,0.0024856033416321283,0.04202838499999999,True,True
0,0.016,0.04149694399999999,0.0390124702406075,-0.0024844737593924873,0.04149694399999999,decoy,decoy,0.0024844737593924873,0.04149694399999999,True,True
0,0.017,0.040965502999999986,0.03848215882284715,-0.0024833441771528394,0.040965502999999986,decoy,decoy,0.0024833441771528394,0.040965502999999986,True,True
0,0.018,0.04043406199999999,0.037951847405086794,-0.0024822145949131985,0.04043406199999999,decoy,decoy,0.0024822145949131985,0.04043406199999999,True,True
